time, Quad.IMU.AX
0.005000,0.143555
0.010000,-0.840768
0.015000,0.020205
0.020000,-0.815523
0.025000,0.888731
0.030000,-0.284968
0.035000,-1.129700
0.040000,-0.493328
0.045000,0.121876
0.050000,-0.381922
0.055000,0.410751
0.060000,-0.056311
0.065000,-0.346639
0.070000,-0.885922
0.075000,-0.586983
0.080000,-0.008878
0.085000,-0.362626
0.090000,-0.190645
0.095000,-0.516808
0.100000,0.139914
0.105000,-0.371389
0.110000,0.005745
0.115000,-0.039100
0.120000,-0.583527
0.125000,-0.970761
0.130000,0.501892
0.135000,-0.209887
0.140000,0.075501
0.145000,0.642143
0.150000,-0.184044
0.155000,-0.239208
0.160000,0.652944
0.165000,0.432782
0.170000,-1.017588
0.175000,0.236024
0.180000,0.365060
0.185000,-0.365670
0.190000,0.181055
0.195000,0.479187
0.200000,0.169412
0.205000,-0.400035
0.210000,0.169631
0.215000,0.530024
0.220000,-0.054756
0.225000,-0.033491
0.230000,0.550305
0.235000,-0.113308
0.240000,0.563550
0.245000,0.092786
0.250000,-0.637696
0.255000,0.160054
0.260000,1.097487
0.265000,-0.254156
0.270000,0.583951
0.275000,-0.356071
0.280000,-0.098589
0.285000,0.179952
0.290000,-1.086243
0.295000,0.125880
0.300000,0.269569
0.305000,-0.511571
0.310000,-0.274069
0.314999,-0.297834
0.319999,0.057483
0.324999,-0.514283
0.329999,-0.044754
0.334999,0.035427
0.339999,0.910808
0.344999,-0.140049
0.349999,1.070215
0.354999,0.416667
0.359999,-0.979513
0.364999,-0.592577
0.369999,0.003692
0.374999,-0.027764
0.379999,0.415068
0.384999,-0.393309
0.389999,0.973797
0.394998,-0.438964
0.399998,0.547206
0.404998,-0.466202
0.409998,0.060938
0.414998,-0.069801
0.419998,0.300884
0.424998,-0.019065
0.429998,0.124940
0.434998,0.057909
0.439998,0.270014
0.444998,0.166008
0.449998,0.054226
0.454998,0.150370
0.459998,-0.508446
0.464998,0.360540
0.469997,-0.471214
0.474997,-1.574925
0.479997,-0.644012
0.484997,0.676437
0.489997,-0.100305
0.494997,-0.724654
0.499997,-0.916818
0.504997,0.334416
0.509997,0.000585
0.514997,0.175749
0.519997,-0.016589
0.524997,-0.165819
0.529997,0.465572
0.534997,-0.398419
0.539997,-0.888629
0.544997,0.361127
0.549996,0.347489
0.554996,0.114144
0.559996,0.892100
0.564996,0.531479
0.569996,1.292635
0.574996,0.201556
0.579996,-0.581257
0.584996,-0.153317
0.589996,-0.674634
0.594996,0.149961
0.599996,-0.056136
0.604996,0.321238
0.609996,-0.256723
0.614996,-0.044484
0.619996,-0.558122
0.624996,0.168978
0.629995,0.488556
0.634995,0.133594
0.639995,-0.966162
0.644995,-0.569189
0.649995,0.581994
0.654995,0.117630
0.659995,-0.382207
0.664995,0.028634
0.669995,-0.418535
0.674995,-0.130539
0.679995,0.081187
0.684995,0.647815
0.689995,-0.097221
0.694995,-0.069746
0.699995,0.322733
0.704994,0.875139
0.709994,0.401358
0.714994,0.082702
0.719994,-0.293043
0.724994,-0.516852
0.729994,-0.039723
0.734994,0.475287
0.739994,-0.158168
0.744994,-0.206780
0.749994,-0.021921
0.754994,0.066113
0.759994,0.438926
0.764994,0.713953
0.769994,-0.135470
0.774994,0.267462
